# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20200420073416
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_15360_20200321.nc,45.15,45.15,29.67,29.67,2020-03-21T06:00:00Z,2020-03-21T18:00:00Z,Unknown institution,2020-04-20T07:26:11Z,R,DEPH TEMP VGHS VGTA
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_15480_20200321.nc,44.22,44.22,28.63,28.63,2020-03-21T06:00:00Z,2020-03-21T18:00:00Z,Unknown institution,2020-04-20T07:26:12Z,R,DEPH TEMP VGHS VGTA
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_15499_20200321.nc,43.8,43.8,28.58,28.58,2020-03-21T06:00:00Z,2020-03-21T06:00:00Z,Unknown institution,2020-04-20T07:26:12Z,R,DEPH TEMP VGHS VGTA
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_15552_20200321.nc,43.2,43.2,27.95,27.95,2020-03-21T06:00:00Z,2020-03-21T18:00:00Z,Unknown institution,2020-04-20T07:26:13Z,R,DEPH TEMP VGHS VGTA
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_15655_20200321.nc,42.5,42.5,27.48,27.48,2020-03-21T06:00:00Z,2020-03-21T18:00:00Z,Unknown institution,2020-04-20T07:26:13Z,R,DEPH TEMP VGHS VGTA
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17387_20200321.nc,40.9317,40.9317,38.3936,38.3936,2020-03-21T01:37:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:14Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17426_20200321.nc,41.6864,41.6864,32.2594,32.2594,2020-03-21T08:41:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:14Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17445_20200321.nc,41.9006,41.9006,32.9778,32.9778,2020-03-21T08:39:00Z,2020-03-21T23:38:00Z,Turkish State Meteorological Service,2020-04-20T07:26:14Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17446_20200321.nc,41.9817,41.9817,33.7769,33.7769,2020-03-21T01:38:00Z,2020-03-21T23:38:00Z,Turkish State Meteorological Service,2020-04-20T07:26:15Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17459_20200321.nc,41.3103,41.3103,36.3558,36.3558,2020-03-21T08:40:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:15Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17460_20200321.nc,41.1172,41.1172,37.3489,37.3489,2020-03-21T01:39:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:15Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17464_20200321.nc,41.0075,41.0075,39.75,39.75,2020-03-21T01:36:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:16Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17466_20200321.nc,41.0908,41.0908,40.7225,40.7225,2020-03-21T08:40:00Z,2020-03-21T23:39:00Z,Turkish State Meteorological Service,2020-04-20T07:26:16Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_MO_17467_20200321.nc,41.4211,41.4211,41.4297,41.4297,2020-03-21T01:37:00Z,2020-03-21T23:40:00Z,Turkish State Meteorological Service,2020-04-20T07:26:16Z,R,DEPH TEMP
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_TG_Balchik_20200321.nc,43.404,43.404,28.165,28.165,2020-03-21T00:01:00Z,2020-03-21T23:17:00Z,Institute of Oceanology  Bulgarian Academy of Sciences (IO-BAS),2020-04-20T07:26:16Z,R,DEPH TEMP PSAL SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/latest/20200321/BS_TS_TG_Constanta_20200321.nc,44.1475,44.1475,28.672,28.672,2020-03-21T00:00:02Z,2020-03-21T21:16:00Z,National Institute for Marine Research and Development (Romania),2020-04-20T07:26:17Z,R,DEPH SLEV
