# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20200420073421
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_99001_201501.nc,45.1,45.1,36.4,36.4,2015-01-01T06:00:00Z,2015-01-31T06:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:39:49Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_99007_201501.nc,45.4,45.4,36.6,36.6,2015-01-01T06:00:00Z,2015-01-31T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:39:50Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_99009_201501.nc,45.5,45.5,35.8,35.8,2015-01-01T06:00:00Z,2015-01-31T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:39:51Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_99040_201501.nc,45.2167,45.2167,36.7167,36.7167,2015-01-01T06:00:00Z,2015-01-31T18:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:39:51Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_EUXRo01_201501.nc,44.7,44.7,30.779,30.779,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:39:53Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_EUXRo02_201501.nc,44.318,44.318,30.417,30.417,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:39:54Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_EUXRo03_201501.nc,43.98,43.98,29.936,29.936,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:39:56Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_LBBG_201501.nc,42.5,42.5,27.4833,27.4833,2015-01-01T00:00:00Z,2015-01-30T23:30:00Z,Unknown institution,2020-04-02T14:39:57Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_LBWN_201501.nc,43.2,43.2,27.9167,27.9167,2015-01-01T00:00:00Z,2015-01-29T23:30:00Z,Unknown institution,2020-04-02T14:39:58Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_LTAS_201501.nc,41.45,41.45,31.8,31.8,2015-01-01T06:50:00Z,2015-01-28T14:50:00Z,Unknown institution,2020-04-02T14:39:59Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_LTCG_201501.nc,40.9949,40.9949,39.7822,39.7822,2015-01-01T00:00:00Z,2015-01-27T23:50:00Z,Unknown institution,2020-04-02T14:39:59Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_UGSB_201501.nc,41.6333,41.6333,41.6,41.6,2015-01-01T00:00:00Z,2015-01-23T23:30:00Z,Unknown institution,2020-04-02T14:40:01Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_UKOO_201501.nc,46.4333,46.4333,30.7667,30.7667,2015-01-01T00:00:00Z,2015-01-26T23:30:00Z,Unknown institution,2020-04-02T14:40:02Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_URKA_201501.nc,44.8833,44.8833,37.2833,37.2833,2015-01-01T00:00:00Z,2015-01-25T23:00:00Z,Unknown institution,2020-04-02T14:40:02Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201501/BS_TS_MO_URSS_201501.nc,43.4333,43.4333,39.9,39.9,2015-01-01T00:00:00Z,2015-01-24T23:30:00Z,Unknown institution,2020-04-02T14:40:03Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201501/BS_TS_TG_Burgas_201501.nc,42.488,42.488,27.479,27.479,2015-01-11T12:43:00Z,2015-01-31T23:58:00Z,Institute of Oceanology-BAS Varna,2020-04-02T14:39:52Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201501/BS_TS_TG_Cazino-Mamaia_201501.nc,44.233,44.233,28.632,28.632,2015-01-05T00:00:00Z,2015-01-30T00:00:00Z,National Institute for Marine Research and Development - Grigore Antipa,2020-04-02T14:39:52Z,R,DEPH TEMP PSAL FLU2 DOX1 SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201501/BS_TS_TG_Constanta_201501.nc,44.16,44.16,28.6,28.6,2015-01-01T00:00:30Z,2015-01-31T23:58:30Z,National Institute for Marine Research and Development (Romania),2020-04-02T14:39:52Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201501/BS_TS_TG_Shkorpilovtsi_201501.nc,42.958,42.958,27.899,27.899,2015-01-01T00:00:00Z,2015-01-31T23:45:00Z,Institute of Oceanology-BAS Varna,2020-04-02T14:40:00Z,R,DEPH TEMP SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201501/BS_TS_TG_Varna_201501.nc,43.192,43.192,27.911,27.911,2015-01-01T00:00:00Z,2015-01-31T23:58:00Z,Institute of Oceanology-BAS Varna,2020-04-02T14:40:04Z,R,DEPH SLEV
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6900805_201501.nc,43.819,43.895,30.471,31.862,2015-01-02T18:03:46Z,2015-01-27T17:51:08Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2019-05-22T22:37:26Z,D,PRES TEMP PSAL PRES_ADJUSTED TEMP_ADJUSTED PSAL_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED_ERROR PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6900807_201501.nc,41.9655,43.18803,28.53202,29.06813,2015-01-01T00:29:00Z,2015-01-31T23:19:00Z,National Research and Development Institute for Marine Geology and Geoecology - GeoEcoMar,2020-03-12T13:27:21Z,M,PRES PSAL TEMP DOX2 DOX2_ADJUSTED DOX2_ADJUSTED_ERROR CPHL CPHL_ADJUSTED BBP700 CDOM BBP700_ADJUSTED BBP700_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901831_201501.nc,42.84504,42.94454,34.70042,35.72839,2015-01-06T00:05:00Z,2015-01-30T23:51:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2019-05-24T16:09:04Z,R,PRES TEMP PSAL
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901832_201501.nc,42.01861,42.30029,31.41897,31.72974,2015-01-01T23:55:00Z,2015-01-26T23:52:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2019-05-24T16:12:18Z,R,PRES TEMP PSAL
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901895_201501.nc,42.847,43.117,39.039,40.013,2015-01-02T18:01:00Z,2015-01-27T18:01:00Z,Institute of Marine Sciences Middle East Technical University (IMS-METU),2020-03-03T20:50:50Z,D,PRES TEMP PSAL DOX2 PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901900_201501.nc,42.07793,42.19736,37.98461,38.25237,2015-01-04T17:38:00Z,2015-01-29T17:43:00Z,Institute of Marine Sciences Middle East Technical University (IMS-METU),2020-03-03T21:24:23Z,D,PRES PSAL_ADJUSTED_ERROR PSAL_ADJUSTED TEMP_ADJUSTED_ERROR TEMP_ADJUSTED PRES_ADJUSTED DOX2 PSAL TEMP PRES_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901959_201501.nc,41.352,41.654,40.823,41.421,2015-01-01T06:44:00Z,2015-01-31T06:45:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2019-11-26T13:31:37Z,D,PRES TEMP PSAL PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901961_201501.nc,42.134,43.103,29.198,29.937,2015-01-02T06:25:00Z,2015-01-27T06:26:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2019-05-24T18:48:38Z,D,PRES TEMP PSAL PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_6901962_201501.nc,41.292,41.562,36.774,38.253,2015-01-01T06:25:00Z,2015-01-31T06:14:00Z,OGS Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,2019-05-24T18:49:28Z,D,PRES TEMP PSAL PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_7900590_201501.nc,41.285,41.696,40.084,40.296,2015-01-03T06:07:00Z,2015-01-28T06:13:00Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2019-05-25T11:01:37Z,D,PRES TEMP PSAL PRES_ADJUSTED PRES_ADJUSTED_ERROR TEMP_ADJUSTED TEMP_ADJUSTED_ERROR PSAL_ADJUSTED PSAL_ADJUSTED_ERROR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_7900591_201501.nc,42.47964,42.50358,32.34388,32.39849,2015-01-06T09:39:00Z,2015-01-26T09:42:00Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2020-02-21T14:20:24Z,M,PRES PSAL TEMP DOX2_ADJUSTED_ERROR DOX2 DOX2_ADJUSTED LGHT DOWN_IRRADIANCE490 DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 BBP532 BBP700 CPHL CPHL_ADJUSTED
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/PF/201501/GL_PR_PF_7900593_201501.nc,41.60067,41.70654,29.41894,29.97081,2015-01-05T05:25:00Z,2015-01-30T03:32:00Z,Institute of Oceanology Bulgarian Academy of Sciences (IO-BAS),2020-03-04T12:53:30Z,R,PRES DOX2 TEMP PSAL
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_99001_201502.nc,45.1,45.1,36.4,36.4,2015-02-01T06:00:00Z,2015-02-28T06:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:40:04Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_99007_201502.nc,45.4,45.4,36.6,36.6,2015-02-01T06:00:00Z,2015-02-28T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:40:05Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_99009_201502.nc,45.5,45.5,35.8,35.8,2015-02-01T06:00:00Z,2015-02-28T12:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:40:06Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_99040_201502.nc,45.2167,45.2167,36.7167,36.7167,2015-02-01T06:00:00Z,2015-02-28T18:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre (RIHMI-WDC),2020-04-02T14:40:06Z,R,DEPH VGHS VEMH VGTA VDIR
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_EUXRo01_201502.nc,44.7,44.7,30.779,30.779,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:40:08Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_EUXRo02_201502.nc,44.318,44.318,30.417,30.417,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:40:10Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_EUXRo03_201502.nc,43.98,43.98,29.936,29.936,2018-01-05T00:00:00Z,2018-01-05T23:00:00Z,National Institute of Marine Geology and Geo-ecology,2020-04-02T14:40:11Z,R,DEPH TEMP PSAL FLU2 OSAT DOXY TUR4 HCDT HCSP RELH ATMS DRYT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_LBBG_201502.nc,42.5,42.5,27.4833,27.4833,2015-02-01T00:00:00Z,2015-02-27T23:30:00Z,Unknown institution,2020-04-02T14:40:13Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_LBWN_201502.nc,43.2,43.2,27.9167,27.9167,2015-02-01T00:00:00Z,2015-02-26T23:30:00Z,Unknown institution,2020-04-02T14:40:14Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_LTAS_201502.nc,41.45,41.45,31.8,31.8,2015-02-02T06:50:00Z,2015-02-25T14:50:00Z,Unknown institution,2020-04-02T14:40:14Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_LTCG_201502.nc,40.9949,40.9949,39.7822,39.7822,2015-02-02T00:20:00Z,2015-02-24T23:50:00Z,Unknown institution,2020-04-02T14:40:15Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_UGSB_201502.nc,41.6333,41.6333,41.6,41.6,2015-02-02T00:00:00Z,2015-02-20T23:30:00Z,Unknown institution,2020-04-02T14:40:17Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_UKOO_201502.nc,46.4333,46.4333,30.7667,30.7667,2015-02-02T00:00:00Z,2015-02-23T23:30:00Z,Unknown institution,2020-04-02T14:40:17Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_URKA_201502.nc,44.8833,44.8833,37.2833,37.2833,2015-02-02T00:00:00Z,2015-02-22T23:00:00Z,Unknown institution,2020-04-02T14:40:18Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/MO/201502/BS_TS_MO_URSS_201502.nc,43.4333,43.4333,39.9,39.9,2015-02-02T00:00:00Z,2015-02-21T23:30:00Z,Unknown institution,2020-04-02T14:40:19Z,R,DEPH RELH ATMS DRYT DEWT WSPD WDIR GSPD
COP-BLACKSEA-01,ftp://nrt.cmems-du.eu/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/bs_multiparameter_nrt/monthly/TG/201502/BS_TS_TG_Burgas_201502.nc,42.488,42.488,27.479,27.479,2015-02-01T00:00:00Z,2015-02-12T04:45:00Z,Institute of Oceanology-BAS Varna,2020-04-02T14:40:07Z,R,DEPH SLEV
