# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20200421073811
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_latitude_observation,last_longitude_observation,last_date_observation
 ,2020-04-21T07:30:37Z,2020-04-21T07:30:37Z, ,BS_TS_MO_KVR_YYYYMMDD,WATSEN, ,DEPH TEMP,44.61,33.45,2020-04-06T01:35:22Z
15360,2020-04-21T07:34:30Z,2020-04-21T07:34:30Z,15360,BS_TS_MO_15360_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,45.15,29.67,2020-04-20T18:00:00Z
15428,2020-04-21T07:34:31Z,2020-04-21T07:34:31Z,15428,BS_TS_MO_15428_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,44.68,28.98,2020-04-20T12:00:00Z
15480,2020-04-21T07:34:31Z,2020-04-21T07:34:31Z,15480,BS_TS_MO_15480_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,44.22,28.63,2020-04-20T18:00:00Z
15499,2020-04-21T07:34:31Z,2020-04-21T07:34:31Z,15499,BS_TS_MO_15499_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,43.8,28.58,2020-04-20T12:00:00Z
15552,2020-04-21T07:34:32Z,2020-04-21T07:34:32Z,15552,BS_TS_MO_15552_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,43.2,27.95,2020-04-20T18:00:00Z
15655,2020-04-21T07:34:32Z,2020-04-21T07:34:32Z,15655,BS_TS_MO_15655_YYYYMMDD,NOAA / National Geophysical Data Center (NOAA/NGDC),1978,DEPH TEMP VGHS VGTA,42.5,27.48,2020-04-20T18:00:00Z
17387,2020-04-21T07:34:46Z,2020-04-21T07:34:46Z,17387,BS_TS_MO_17387_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,40.9317,38.3936,2020-04-21T06:37:00Z
17426,2020-04-21T07:34:33Z,2020-04-21T07:34:33Z,17426,BS_TS_MO_17426_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.6864,32.2594,2020-04-20T23:37:00Z
17445,2020-04-21T07:34:33Z,2020-04-21T07:34:33Z,17445,BS_TS_MO_17445_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.9006,32.9778,2020-04-20T23:36:00Z
17446,2020-04-21T07:34:47Z,2020-04-21T07:34:47Z,17446,BS_TS_MO_17446_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.9817,33.7769,2020-04-21T09:00:00Z
17447,2020-04-21T07:33:25Z,2020-04-21T07:33:25Z,17447,BS_TS_MO_17447_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP DRYT WSPD GSPD WDIR RELH ATMS,40.945,40.054,2020-04-16T13:00:00Z
17455,2020-04-21T07:33:26Z,2020-04-21T07:33:26Z,17455,BS_TS_MO_17455_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP DRYT WSPD GSPD WDIR RELH ATMS,40.945,40.054,2020-04-16T13:00:00Z
17459,2020-04-21T07:34:47Z,2020-04-21T07:34:47Z,17459,BS_TS_MO_17459_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.3103,36.3558,2020-04-21T06:37:00Z
17460,2020-04-21T07:34:47Z,2020-04-21T07:34:47Z,17460,BS_TS_MO_17460_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.1172,37.3489,2020-04-21T09:00:00Z
17464,2020-04-21T07:34:47Z,2020-04-21T07:34:47Z,17464,BS_TS_MO_17464_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.0075,39.75,2020-04-21T09:00:00Z
17466,2020-04-21T07:34:48Z,2020-04-21T07:34:48Z,17466,BS_TS_MO_17466_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.0908,40.7225,2020-04-21T06:37:00Z
17467,2020-04-21T07:34:48Z,2020-04-21T07:34:48Z,17467,BS_TS_MO_17467_YYYYMMDD,Turkish State Meteorological Service,176,DEPH TEMP,41.4211,41.4297,2020-04-21T09:00:00Z
